Source,Austin,Baltimore,Charlotte,Chicago,Dallas,Detroit,El Paso,Fort Worth,Houston,Indianapolis,Jacksonville,Las Vegas,Los Angeles,Memphis,Milwaukee,Nashville,Oklahoma City,Philadelphia,Phoenix,Portland,San Antonio,San Diego,San Francisco,San Jose,Seattle,Washington
accuweather,49,30,36,25,37,26,46,38,50,32,50,48,56,30,29,36,30,30,57,43,50,57,51,48,46,34
aol,49,32,36,25,38,28,46,38,51,33,51,46,55,29,28,37,31,31,57,44,50,57,52,48,44,34
climaton,48,32,37,25,37,28,46,37,52,30,52,48,55,30,28,36,30,30,57,28,50,57,52,48,45,34
cnn,49,30,36,25,37,28,46,38,52,32,50,48,56,30,29,36,30,30,57,43,50,57,51,48,44,34
findlocalweather,48,32,37,25,37,28,46,37,52,32,52,46,55,30,28,36,30,30,57,43,52,57,50,48,45,34
foxnews,50,32,37,25,41,27,47,40,54,32,51,44,57,31,30,37,30,30,60,44,51,58,53,50,47,32
herald,49,30,36,24,38,28,46,38,52,30,51,48,56,30,29,36,30,30,57,43,50,57,51,48,44,34
msn,48,30,36,25,37,28,46,37,52,30,50,46,55,30,28,36,30,30,57,43,50,57,50,48,45,34
nytimes,46,30,36,24,38,26,46,37,52,30,50,48,49,30,27,36,30,30,57,44,50,54,50,46,43,34
unisys,49,32,37,24,38,28,46,38,50,32,51,46,56,30,29,36,30,30,57,43,50,57,51,48,44,33
uswx,49,30,36,24,38,28,46,38,52,30,51,46,55,30,29,36,30,30,57,43,50,57,51,48,44,34
washingtonpost,49,30,36,25,37,26,46,38,50,32,50,48,56,30,29,36,30,30,57,43,50,57,51,48,46,34
weatherbug,45,29,35,24,41,27,45,38,49,29,51,44,52,30,25,37,27,32,55,43,45,54,52,48,44,31
weatherforyou,48,30,36,25,35,28,46,37,51,32,51,46,55,30,28,36,35,30,55,45,51,57,52,47,45,34
wunderground,49,31,35,26,39,28,49,38,52,30,49,45,54,30,28,37,31,30,55,41,50,53,52,45,43,32
yahoo,49,32,38,24,38,28,46,38,54,32,51,47,56,30,29,36,30,31,57,43,51,53,51,48,44,34
