Source,Austin,Baltimore,Charlotte,Chicago,Dallas,Detroit,El Paso,Fort Worth,Houston,Indianapolis,Jacksonville,Las Vegas,Los Angeles,Memphis,Milwaukee,Nashville,Oklahoma City,Philadelphia,Phoenix,Portland,San Antonio,San Diego,San Francisco,San Jose,Seattle,Washington
accuweather,52,32,37,30,44,28,61,47,53,34,55,58,64,41,32,43,34,34,71,51,51,60,54,57,49,34
aol,52,33,38,31,47,27,58,49,56,35,56,56,62,37,31,34,34,34,69,51,51,59,55,55,52,34
climaton,52,34,36,30,48,27,61,46,57,34,57,57,64,41,32,43,32,34,72,28,52,61,54,57,54,34
cnn,52,32,37,30,46,27,61,47,57,34,55,58,64,41,32,43,34,34,71,51,51,60,54,57,53,34
findlocalweather,52,34,37,30,48,27,61,54,57,34,57,57,64,41,32,43,34,34,72,52,52,61,55,57,54,34
foxnews,52,34,37,31,49,27,61,47,55,34,57,57,64,41,32,43,33,34,71,51,52,60,54,57,54,34
herald,50,31,37,32,48,27,57,44,56,34,57,58,63,39,32,42,32,33,70,48,51,59,54,55,52,33
msn,52,32,37,32,48,27,57,46,55,34,57,57,63,41,32,43,34,34,70,52,52,59,55,57,54,34
nytimes,50,32,37,31,49,28,61,46,57,32,56,58,63,41,32,43,34,34,69,49,51,60,56,59,51,34
unisys,50,32,37,32,48,27,57,44,53,34,57,56,63,39,32,42,32,33,67,48,51,59,54,55,52,33
uswx,50,31,37,32,48,27,57,44,56,34,57,56,59,39,32,42,33,34,70,48,51,59,54,55,52,34
washingtonpost,52,32,37,30,46,28,61,47,57,34,55,58,64,41,32,43,34,34,71,51,51,60,54,57,54,34
weatherbug,48,29,35,31,49,26,58,46,54,34,57,54,59,39,29,42,32,34,68,50,47,57,56,55,50,31
weatherforyou,50,30,35,32,44,27,57,46,55,34,57,58,63,41,32,43,35,34,66,52,50,60,54,57,52,34
wunderground,51,31,36,32,47,27,58,46,56,34,56,55,61,40,30,43,36,33,65,46,49,58,57,54,54,32
yahoo,52,36,37,31,49,27,61,47,55,34,57,58,64,41,32,43,32,34,71,51,52,60,54,59,54,34
