Source,Austin,Baltimore,Charlotte,Chicago,Dallas,Detroit,El Paso,Fort Worth,Houston,Indianapolis,Jacksonville,Las Vegas,Los Angeles,Memphis,Milwaukee,Nashville,Oklahoma City,Philadelphia,Phoenix,Portland,San Antonio,San Diego,San Francisco,San Jose,Seattle,Washington
accuweather,33,24,32,23,32,21,44,31,38,23,46,43,52,31,20,28,25,24,56,45,32,53,50,49,45,25
aol,32,27,32,26,32,22,44,33,38,25,45,50,52,32,18,28,26,25,56,47,32,53,50,49,47,25
climaton,32,25,30,19,32,19,41,30,37,19,43,43,48,28,18,25,23,21,52,27,32,52,48,48,46,25
cnn,31,17,22,15,31,16,39,29,36,12,41,42,48,22,15,14,23,17,48,6,31,51,48,49,47,19
findlocalweather,32,27,32,25,32,21,45,32,37,23,45,50,52,30,19,28,25,25,55,45,34,54,48,48,46,25
foxnews,32,24,31,20,32,19,41,31,36,20,43,40,49,29,18,24,24,22,51,44,33,51,49,49,47,24
herald,32,24,32,24,32,21,44,31,38,23,45,48,52,31,20,28,25,25,56,45,32,53,50,49,47,25
msn,32,25,32,25,32,21,45,30,37,23,43,50,52,30,19,28,25,25,55,45,32,54,48,48,46,25
nytimes,32,24,32,24,32,21,44,32,38,23,42,48,48,31,18,28,25,25,58,45,32,51,46,48,45,25
unisys,32,27,32,24,32,21,44,31,38,23,45,50,52,31,20,28,25,25,58,45,32,53,50,49,47,25
uswx,32,24,32,24,32,21,44,31,38,23,45,50,50,31,20,28,25,24,56,45,32,53,50,49,47,25
washingtonpost,33,24,32,23,32,21,44,31,38,23,45,43,52,31,20,28,25,24,56,45,32,53,50,49,45,25
weatherbug,32,22,32,21,33,19,46,30,34,25,43,45,50,28,16,42,23,23,55,46,29,55,49,48,43,24
weatherforyou,31,25,35,25,34,21,45,32,36,25,41,48,52,30,19,28,30,25,60,47,35,56,50,49,46,25
wunderground,34,25,34,26,33,21,46,32,38,26,48,48,54,33,20,33,28,26,58,43,35,56,49,54,44,27
yahoo,32,21,32,20,32,21,44,31,36,23,45,39,52,31,18,28,23,24,56,45,33,48,49,46,47,25
