Source,Austin,Baltimore,Charlotte,Chicago,Dallas,Detroit,El Paso,Fort Worth,Houston,Indianapolis,Jacksonville,Las Vegas,Los Angeles,Memphis,Milwaukee,Nashville,Oklahoma City,Philadelphia,Phoenix,Portland,San Antonio,San Diego,San Francisco,San Jose,Seattle,Washington
accuweather,45,23,37,30,42,21,46,40,49,33,55,52,58,41,27,35,32,28,57,43,46,57,53,53,45,31
aol,45,28,34,30,43,22,52,44,47,32,55,51,58,36,24,35,33,26,60,45,46,57,52,51,47,27
climaton,45,30,32,30,45,23,54,41,48,34,55,54,57,41,27,36,32,27,63,30,45,57,54,52,46,30
cnn,45,22,38,29,43,23,53,43,48,33,55,53,58,41,27,35,32,27,62,43,45,58,53,52,47,31
findlocalweather,45,30,37,30,45,21,46,43,48,34,57,52,57,41,27,36,32,28,57,43,46,57,52,54,46,30
foxnews,45,30,38,30,44,23,53,43,48,33,56,46,58,41,28,35,32,27,62,43,46,58,53,52,47,31
herald,45,23,37,30,45,21,46,40,49,33,55,52,58,41,27,35,32,27,57,43,46,57,53,53,47,31
msn,45,23,37,30,45,21,46,39,48,34,55,52,57,41,27,36,32,28,57,43,46,57,52,54,46,30
nytimes,45,23,37,30,45,21,46,42,49,30,55,52,55,41,23,35,32,27,54,42,46,54,51,54,44,31
unisys,45,31,37,30,45,21,46,40,49,33,57,51,58,41,27,35,32,27,54,43,46,57,53,53,47,31
uswx,45,23,37,30,45,21,46,40,49,33,55,51,57,41,27,35,32,28,57,43,46,57,53,53,47,31
washingtonpost,45,23,37,30,42,21,46,40,49,33,55,52,58,41,27,35,32,28,57,43,46,57,53,53,45,31
weatherbug,45,29,32,30,45,23,49,44,46,33,55,49,56,41,24,37,32,29,57,42,42,55,54,53,44,33
weatherforyou,44,21,30,30,42,21,46,43,47,33,56,51,57,41,27,36,37,28,53,43,47,55,54,51,46,30
wunderground,46,32,31,30,43,26,49,43,48,31,55,47,57,41,26,37,34,27,52,41,47,54,54,51,44,31
yahoo,45,25,37,30,45,23,46,41,48,33,55,51,58,41,27,35,32,26,57,43,46,51,53,55,47,31
