Source,Austin,Baltimore,Charlotte,Chicago,Dallas,Detroit,El Paso,Fort Worth,Houston,Indianapolis,Jacksonville,Las Vegas,Los Angeles,Memphis,Milwaukee,Nashville,Oklahoma City,Philadelphia,Phoenix,Portland,San Antonio,San Diego,San Francisco,San Jose,Seattle,Washington
accuweather,49,30,36,25,36,25,45,37,50,29,50,48,56,29,29,36,30,30,56,43,50,56,50,47,46,32
aol,49,32,35,25,38,27,45,37,51,31,49,46,56,29,28,35,30,31,56,44,50,56,50,47,44,34
climaton,48,32,37,25,37,28,46,37,52,30,52,48,55,30,28,36,30,30,57,28,50,57,52,48,45,34
cnn,49,30,36,25,36,28,45,37,52,29,50,48,56,29,29,36,30,30,56,43,50,56,50,47,44,32
findlocalweather,48,32,36,25,37,28,45,37,52,28,50,46,55,28,28,36,30,30,55,43,52,55,46,46,45,32
foxnews,49,32,37,24,38,28,46,38,54,32,51,43,56,30,29,36,30,30,57,43,51,57,51,48,44,34
herald,49,30,36,24,38,28,45,37,52,29,50,48,56,29,29,36,29,30,56,43,50,56,50,47,44,34
msn,48,30,36,25,37,28,45,37,52,28,50,46,55,28,28,36,30,30,55,43,50,55,46,46,45,34
nytimes,46,30,36,24,38,25,45,36,52,28,50,48,49,29,27,36,30,30,58,44,50,54,49,46,45,32
unisys,49,32,36,24,38,28,45,37,50,29,50,46,56,29,29,36,29,30,58,43,50,56,50,47,44,32
uswx,49,30,36,24,38,28,45,37,52,29,50,46,53,29,29,36,30,30,56,43,50,56,50,47,44,34
washingtonpost,49,30,36,25,36,25,45,37,50,29,50,48,56,29,29,36,30,30,56,43,50,56,50,47,46,32
weatherbug,44,29,35,24,41,27,45,38,49,29,51,44,52,30,25,37,27,32,55,43,45,54,52,48,44,31
weatherforyou,48,30,35,25,34,28,45,37,51,29,50,44,55,28,28,36,35,30,56,45,51,55,50,45,45,32
wunderground,49,30,35,26,38,28,49,38,51,29,49,45,53,30,27,36,30,30,54,42,50,52,51,45,43,32
yahoo,49,32,36,24,38,28,45,37,52,29,50,47,56,29,29,36,29,30,56,43,51,53,50,47,44,32
