Source,Austin,Baltimore,Charlotte,Chicago,Dallas,Detroit,El Paso,Fort Worth,Houston,Indianapolis,Jacksonville,Las Vegas,Los Angeles,Memphis,Milwaukee,Nashville,Oklahoma City,Philadelphia,Phoenix,Portland,San Antonio,San Diego,San Francisco,San Jose,Seattle,Washington
accuweather,41,17,24,23,30,20,47,28,39,24,68,51,61,25,23,25,27,20,62,43,48,61,52,54,45,19
aol,40,17,25,24,31,19,46,32,39,24,67,49,62,27,23,24,25,19,62,44,46,62,53,52,46,19
climaton,39,18,25,23,30,18,45,28,39,21,66,50,59,25,21,25,21,18,61,19,45,61,52,48,46,19
cnn,40,17,25,23,29,18,44,28,39,22,66,50,59,25,21,24,27,18,60,42,44,60,52,49,46,19
findlocalweather,37,18,25,23,30,18,45,30,39,21,66,48,59,25,21,25,27,19,61,43,45,61,52,48,46,19
foxnews,40,18,25,23,30,18,44,28,37,22,66,48,59,25,21,24,26,18,60,42,44,60,52,49,46,19
herald,41,17,24,23,30,20,47,28,41,24,68,51,61,25,23,25,23,19,62,43,48,61,52,54,47,19
msn,41,18,25,23,30,19,46,28,37,25,66,50,61,25,23,25,27,19,63,43,48,61,52,54,46,19
nytimes,37,18,25,23,30,19,44,29,39,21,66,50,53,25,19,24,27,18,61,41,44,57,52,50,45,19
unisys,41,18,24,23,30,20,47,28,39,24,68,50,61,25,23,25,23,19,61,43,48,61,52,54,47,19
uswx,41,18,24,23,30,20,47,28,41,24,68,50,58,25,23,25,27,20,62,43,48,61,52,54,47,19
washingtonpost,40,18,25,23,29,19,44,28,38,22,66,50,59,25,21,24,27,19,60,42,44,60,52,49,44,19
weatherbug,39,14,22,20,28,19,47,28,36,23,66,51,58,25,20,26,21,17,60,42,41,62,52,48,44,16
weatherforyou,41,18,26,23,28,19,46,30,41,24,68,54,61,25,23,25,28,19,61,44,48,63,52,55,46,19
wunderground,42,16,23,23,30,20,46,30,40,25,67,53,57,25,23,24,33,18,64,40,47,62,53,55,44,17
yahoo,38,18,25,23,30,18,44,28,37,22,66,51,59,25,21,24,22,19,60,42,44,59,52,50,46,19
