Source,Austin,Baltimore,Charlotte,Chicago,Dallas,Detroit,El Paso,Fort Worth,Houston,Indianapolis,Jacksonville,Las Vegas,Los Angeles,Memphis,Milwaukee,Nashville,Oklahoma City,Philadelphia,Phoenix,Portland,San Antonio,San Diego,San Francisco,San Jose,Seattle,Washington
accuweather,45,27,37,28,42,23,41,40,48,30,57,46,55,36,28,34,34,26,52,41,48,55,50,48,43,28
aol,45,29,36,30,42,23,41,42,48,32,59,44,55,34,27,34,34,25,51,42,48,54,51,48,44,29
climaton,45,28,34,28,43,25,41,39,48,30,59,46,55,36,28,34,34,21,52,27,48,55,50,48,45,28
cnn,45,22,38,28,41,23,42,40,48,32,57,46,54,36,27,34,33,23,53,41,48,57,10,48,45,28
findlocalweather,45,28,37,28,43,25,41,41,48,32,59,45,55,36,28,34,34,27,52,41,48,55,48,48,45,28
foxnews,45,29,38,27,42,23,42,40,48,32,61,42,54,36,27,34,33,23,53,41,48,57,50,48,45,28
herald,45,27,37,28,42,23,41,40,48,30,59,46,55,36,28,34,34,21,52,41,48,55,50,48,45,28
msn,45,27,37,28,43,25,41,39,48,30,59,45,55,36,28,34,34,27,52,41,48,55,48,48,45,28
nytimes,45,27,37,28,42,23,41,42,48,32,58,46,48,36,28,34,34,21,53,41,48,53,48,46,44,28
unisys,45,29,37,28,42,24,41,40,48,32,59,44,55,36,28,35,34,21,53,41,48,55,50,48,45,28
uswx,45,27,37,28,42,24,41,40,48,30,59,44,53,36,28,34,34,25,52,41,48,55,50,48,45,28
washingtonpost,45,27,37,28,42,23,41,40,48,32,57,46,55,36,28,34,34,26,52,41,48,55,50,48,43,28
weatherbug,45,27,33,28,44,22,43,41,45,32,59,43,52,36,26,37,31,26,52,41,44,52,50,48,43,28
weatherforyou,44,27,33,28,39,25,41,41,47,31,58,44,55,36,28,34,38,27,52,41,48,53,50,46,45,28
wunderground,46,29,34,28,43,26,41,41,48,31,57,43,53,37,27,38,35,21,47,40,48,52,49,45,43,29
yahoo,45,27,37,28,42,24,41,40,48,30,59,45,55,36,28,34,34,26,52,41,48,54,50,48,45,28
