Source,Austin,Baltimore,Charlotte,Chicago,Dallas,Detroit,El Paso,Fort Worth,Houston,Indianapolis,Jacksonville,Las Vegas,Los Angeles,Memphis,Milwaukee,Nashville,Oklahoma City,Philadelphia,Phoenix,Portland,San Antonio,San Diego,San Francisco,San Jose,Seattle,Washington
accuweather,35,23,35,26,37,27,57,34,43,27,41,59,64,36,23,35,28,27,69,51,36,60,54,59,48,32
aol,35,25,35,28,38,27,56,35,41,27,44,56,64,34,20,35,28,26,66,52,36,60,53,61,50,32
climaton,36,30,39,28,37,27,57,34,43,28,45,59,66,37,25,36,27,28,66,25,37,61,54,61,50,34
cnn,35,28,38,28,36,2,57,34,42,29,45,59,66,37,24,35,28,28,67,52,37,61,53,60,50,33
findlocalweather,36,30,37,28,37,27,57,36,43,28,45,57,66,37,25,36,28,28,66,52,39,61,54,61,50,34
foxnews,35,30,38,29,38,27,57,34,41,29,44,57,66,37,24,35,28,28,67,51,38,61,53,60,50,33
herald,35,23,35,27,38,27,57,34,41,27,44,59,64,36,23,35,27,26,69,51,36,60,54,59,50,32
msn,36,23,36,27,37,27,57,34,41,27,43,57,64,36,23,36,28,27,70,52,37,61,54,59,50,32
nytimes,34,28,38,29,38,29,57,36,42,28,43,59,66,37,21,35,28,28,65,51,37,60,55,61,45,33
unisys,35,30,35,27,38,27,57,34,43,27,44,58,64,36,23,35,27,26,65,51,36,60,54,59,50,32
uswx,35,23,35,27,38,27,57,34,41,27,44,58,62,36,23,35,28,27,69,51,36,60,54,59,50,32
washingtonpost,35,23,38,26,37,27,57,34,43,27,41,59,64,36,23,35,28,27,69,51,36,61,54,60,48,32
weatherbug,35,27,38,27,41,25,60,34,39,30,44,58,62,37,20,40,27,29,68,48,33,59,57,60,47,31
weatherforyou,35,23,32,27,43,27,57,34,41,28,44,62,64,36,23,36,31,28,67,53,39,60,54,61,50,32
wunderground,37,29,34,28,38,27,59,35,41,28,44,58,62,35,22,34,28,27,69,48,38,59,59,63,47,32
yahoo,35,30,38,29,38,27,57,34,41,29,44,58,64,37,24,35,27,28,67,52,38,60,53,61,50,33
