Source,Austin,Baltimore,Charlotte,Chicago,Dallas,Detroit,El Paso,Fort Worth,Houston,Indianapolis,Jacksonville,Las Vegas,Los Angeles,Memphis,Milwaukee,Nashville,Oklahoma City,Philadelphia,Phoenix,Portland,San Antonio,San Diego,San Francisco,San Jose,Seattle,Washington
accuweather,32,19,23,21,30,13,41,29,36,17,50,50,54,24,19,22,19,20,57,44,37,55,51,49,45,18
aol,32,21,24,19,31,14,42,31,35,18,51,47,54,23,18,22,21,20,55,45,37,55,53,48,47,18
climaton,32,21,21,21,30,14,43,28,36,18,52,52,55,25,21,23,21,19,57,27,39,55,52,50,46,18
cnn,32,18,24,21,30,14,43,29,36,18,50,52,55,24,22,23,19,19,57,44,39,56,52,50,47,18
findlocalweather,32,21,23,19,30,16,41,30,37,18,52,46,54,25,19,21,19,19,57,45,37,55,50,48,46,18
foxnews,32,21,24,21,31,14,43,29,34,18,52,50,55,24,22,23,19,19,57,44,40,56,52,50,47,18
herald,32,19,23,20,31,15,41,29,37,17,51,50,54,24,19,22,21,19,57,44,37,55,51,49,47,18
msn,32,19,23,19,30,16,41,28,34,18,48,46,54,25,19,21,18,19,57,45,37,55,50,48,46,18
nytimes,32,19,23,20,31,13,41,30,37,18,49,50,51,24,16,22,19,19,54,43,37,52,49,50,45,18
unisys,32,21,23,20,31,15,41,29,36,17,51,47,54,24,21,22,22,19,54,44,37,55,51,49,47,18
uswx,32,19,23,20,31,15,41,29,37,17,50,47,55,24,19,22,19,20,57,44,37,55,51,49,47,18
washingtonpost,32,19,23,21,30,13,41,29,36,17,50,50,54,24,19,22,19,20,57,44,37,55,51,49,45,18
weatherbug,32,18,21,20,31,14,46,30,34,18,51,46,54,24,17,24,21,19,57,44,35,53,51,50,45,17
weatherforyou,31,19,22,19,30,16,41,30,36,17,50,48,54,25,21,21,26,19,52,46,40,53,52,47,46,18
wunderground,33,19,21,21,30,15,43,29,36,17,49,47,54,23,19,21,23,18,49,42,40,52,51,46,44,19
yahoo,32,21,23,20,31,15,41,29,34,17,51,48,54,24,19,22,19,20,57,44,38,47,51,50,47,18
