Source,Austin,Baltimore,Charlotte,Chicago,Dallas,Detroit,El Paso,Fort Worth,Houston,Indianapolis,Jacksonville,Las Vegas,Los Angeles,Memphis,Milwaukee,Nashville,Oklahoma City,Philadelphia,Phoenix,Portland,San Antonio,San Diego,San Francisco,San Jose,Seattle,Washington
accuweather,38,18,25,21,30,15,50,29,36,18,64,56,58,26,22,26,21,18,65,44,46,58,55,56,45,19
aol,39,19,25,21,30,14,49,31,36,18,66,54,57,26,20,26,24,18,65,46,45,57,55,55,46,19
climaton,37,19,23,21,30,16,50,28,37,18,66,55,57,27,21,27,25,18,64,25,46,57,55,55,46,19
cnn,38,18,25,21,30,16,50,29,37,18,64,56,58,26,22,26,21,18,65,44,46,58,55,56,46,19
findlocalweather,39,19,25,21,30,16,50,30,37,18,66,55,57,27,21,27,21,18,64,45,48,57,55,55,46,19
foxnews,41,19,24,22,31,16,52,29,36,20,68,59,61,26,22,25,22,16,67,46,51,60,57,58,48,18
herald,40,18,25,22,31,16,50,29,37,18,66,56,58,26,22,26,24,18,65,44,46,58,55,56,46,19
msn,39,18,25,21,30,16,50,28,36,18,66,55,57,27,21,27,21,18,64,45,48,57,55,55,46,19
nytimes,36,18,25,22,31,15,50,30,37,14,66,56,59,26,21,26,21,18,63,44,46,57,54,56,45,19
unisys,40,19,24,22,31,16,50,29,36,18,66,55,58,26,22,26,24,17,63,44,46,58,55,56,48,19
uswx,40,18,25,22,31,16,50,29,37,18,66,55,58,26,22,26,21,18,65,44,46,58,55,56,46,19
washingtonpost,38,18,25,21,30,15,50,29,36,18,64,56,58,26,22,26,21,18,65,44,46,58,55,56,45,19
weatherbug,37,16,22,21,31,14,50,29,33,19,66,52,55,26,20,27,27,18,62,45,41,56,53,55,45,16
weatherforyou,38,18,23,21,30,16,50,30,37,18,65,56,57,27,21,27,27,18,59,47,45,57,55,56,46,19
wunderground,39,17,22,22,31,16,49,30,36,18,63,52,56,26,22,24,27,18,58,41,45,56,54,55,45,17
yahoo,40,19,25,22,31,16,50,29,36,18,66,55,58,26,22,26,24,18,65,44,48,56,55,56,48,19
