Source,Austin,Baltimore,Charlotte,Chicago,Dallas,Detroit,El Paso,Fort Worth,Houston,Indianapolis,Jacksonville,Las Vegas,Los Angeles,Memphis,Milwaukee,Nashville,Oklahoma City,Philadelphia,Phoenix,Portland,San Antonio,San Diego,San Francisco,San Jose,Seattle,Washington
accuweather,39,32,42,27,43,27,56,37,45,31,59,49,60,44,24,38,30,33,58,42,43,58,51,51,44,35
aol,41,37,43,29,47,27,58,41,45,32,59,51,63,44,22,39,32,34,60,44,44,60,53,54,45,35
climaton,39,36,45,27,46,27,55,37,46,30,59,48,61,45,25,37,30,34,57,34,43,57,52,52,45,36
cnn,39,32,42,27,43,26,56,37,46,31,59,49,60,44,24,38,30,34,58,42,43,58,51,51,44,35
findlocalweather,39,36,43,27,46,27,55,39,46,30,59,48,61,45,25,37,30,34,57,43,43,57,52,52,45,36
foxnews,39,33,41,26,41,25,51,35,43,29,58,46,57,40,23,33,30,33,55,41,41,58,51,49,42,34
herald,41,32,42,29,46,26,56,37,46,31,59,49,63,44,25,38,31,34,61,42,43,60,51,51,44,35
msn,41,32,43,27,46,27,55,37,45,30,55,48,61,45,25,37,30,34,57,43,43,57,52,52,45,36
nytimes,39,32,42,27,46,27,56,43,46,32,56,49,54,44,19,38,30,34,57,43,43,55,53,54,43,35
unisys,39,36,42,27,45,26,56,37,45,31,59,49,60,44,24,38,31,34,57,42,42,58,51,51,44,35
uswx,41,33,45,29,45,27,60,39,47,33,59,52,60,46,25,41,31,35,61,42,43,60,53,57,46,37
washingtonpost,39,32,42,27,43,27,56,37,45,31,59,49,60,44,24,38,30,33,58,42,43,58,51,51,44,35
weatherbug,41,31,47,29,45,24,60,40,44,35,59,52,61,46,22,44,30,34,60,43,40,61,54,57,44,34
weatherforyou,42,32,47,27,48,27,55,39,45,34,61,54,61,45,29,37,35,34,62,42,45,60,52,56,45,36
wunderground,43,34,46,29,44,23,55,42,47,36,62,53,60,46,24,42,34,35,64,41,45,61,54,58,43,36
yahoo,41,36,42,27,45,26,56,37,45,31,59,48,60,44,24,38,31,33,58,42,43,56,51,54,44,35
