Source,Austin,Baltimore,Charlotte,Chicago,Dallas,Detroit,El Paso,Fort Worth,Houston,Indianapolis,Jacksonville,Las Vegas,Los Angeles,Memphis,Milwaukee,Nashville,Oklahoma City,Philadelphia,Phoenix,Portland,San Antonio,San Diego,San Francisco,San Jose,Seattle,Washington
accuweather,53,35,37,30,50,30,63,50,58,37,57,58,64,43,32,45,35,35,71,50,52,61,54,58,52,38
aol,51,37,37,31,50,27,63,53,56,37,59,57,63,42,31,41,37,35,70,52,52,60,54,58,54,37
climaton,54,37,36,30,52,27,63,50,57,37,59,57,64,43,32,45,36,36,72,28,52,61,54,57,54,37
cnn,53,35,37,30,50,27,63,50,57,37,57,58,64,43,32,45,35,35,71,50,52,61,54,58,52,38
findlocalweather,52,37,37,30,52,27,63,55,57,37,59,57,64,43,32,45,36,36,72,50,52,61,54,57,54,37
foxnews,53,37,37,32,50,28,62,50,55,38,60,56,64,44,32,46,35,35,71,48,54,61,53,57,52,40
herald,51,35,37,31,51,27,63,50,57,37,59,58,64,43,32,45,36,35,71,50,52,61,54,58,54,38
msn,52,36,37,30,52,27,63,50,57,37,57,57,64,43,32,45,36,36,72,50,52,61,54,57,54,37
nytimes,50,35,37,31,51,30,63,50,57,34,58,58,63,43,30,45,35,35,69,50,52,63,54,57,52,38
unisys,51,37,37,31,51,28,63,50,58,37,59,57,64,43,32,45,36,35,69,50,52,61,54,58,54,38
uswx,51,34,37,31,51,27,63,50,57,37,59,57,61,43,32,45,35,35,71,50,52,61,54,58,54,38
washingtonpost,53,35,37,30,50,30,63,50,58,37,57,58,64,43,32,45,35,35,71,50,52,61,54,58,52,38
weatherbug,48,34,35,30,54,27,63,51,53,37,60,55,61,44,30,46,39,35,74,51,48,61,56,57,50,35
weatherforyou,50,36,36,30,52,27,63,55,56,37,59,63,64,43,32,45,36,36,70,50,52,61,54,61,54,37
wunderground,52,36,35,32,52,28,65,51,57,37,57,58,61,42,31,47,42,34,71,49,51,60,59,60,61,38
yahoo,51,36,37,31,51,28,63,50,55,37,59,58,64,43,32,45,36,35,71,50,52,63,54,57,54,38
