Source,Austin,Baltimore,Charlotte,Chicago,Dallas,Detroit,El Paso,Fort Worth,Houston,Indianapolis,Jacksonville,Las Vegas,Los Angeles,Memphis,Milwaukee,Nashville,Oklahoma City,Philadelphia,Phoenix,Portland,San Antonio,San Diego,San Francisco,San Jose,Seattle,Washington
accuweather,33,24,32,23,32,21,44,31,38,23,46,48,52,31,20,28,25,24,56,46,32,53,50,49,45,25
aol,33,28,34,26,33,22,46,33,38,25,46,53,55,33,18,29,27,25,59,47,34,55,51,51,48,26
climaton,34,27,34,25,32,21,45,30,37,23,45,48,52,30,19,28,25,25,55,28,32,54,50,48,46,25
cnn,33,24,32,23,32,21,44,31,38,23,46,48,52,31,20,28,25,25,56,46,32,53,50,49,47,25
findlocalweather,32,27,32,25,32,21,45,32,37,23,45,50,52,30,19,28,25,25,55,46,34,54,48,48,46,25
foxnews,32,24,31,20,32,19,41,31,36,20,43,40,49,29,18,24,24,22,51,44,33,51,49,49,47,24
herald,32,26,36,26,34,22,48,31,39,25,45,51,57,32,23,32,25,27,61,47,33,57,51,52,48,28
msn,32,25,32,25,32,21,45,30,37,23,43,50,57,30,19,28,25,25,55,46,34,54,48,48,46,25
nytimes,32,24,32,24,32,21,44,32,38,25,42,48,48,31,18,28,25,25,58,45,32,51,48,48,45,25
unisys,32,29,36,26,34,22,48,31,39,25,45,51,57,32,23,32,25,27,60,47,33,57,51,52,48,28
uswx,32,26,36,26,34,22,48,31,39,25,45,51,54,32,23,32,26,25,61,47,33,57,51,52,48,28
washingtonpost,33,24,32,23,32,21,44,31,38,23,46,48,52,31,20,28,25,24,56,46,32,53,50,49,45,25
weatherbug,33,24,35,24,35,20,50,30,36,27,45,50,53,32,20,42,25,27,60,47,30,56,52,52,44,28
weatherforyou,32,25,38,27,35,21,48,34,36,25,41,53,57,32,23,32,29,25,63,48,36,57,50,52,48,28
wunderground,34,26,35,28,33,22,48,32,39,27,48,51,57,35,22,32,28,28,61,44,36,57,51,54,44,27
yahoo,32,27,32,24,32,21,44,31,37,23,45,44,52,31,20,28,25,24,56,46,34,50,50,48,47,25
