Source,Austin,Baltimore,Charlotte,Chicago,Dallas,Detroit,El Paso,Fort Worth,Houston,Indianapolis,Jacksonville,Las Vegas,Los Angeles,Memphis,Milwaukee,Nashville,Oklahoma City,Philadelphia,Phoenix,Portland,San Antonio,San Diego,San Francisco,San Jose,Seattle,Washington
accuweather,45,27,42,29,45,25,60,43,48,34,55,57,64,44,25,38,32,32,66,44,46,62,57,59,46,35
aol,45,30,31,28,45,25,56,45,48,32,57,53,62,38,23,29,33,30,65,45,46,60,55,57,47,31
climaton,45,34,39,28,46,25,61,43,50,34,57,57,64,45,25,37,32,30,66,30,46,63,57,59,48,36
cnn,45,27,42,29,45,25,60,43,50,34,55,57,64,44,25,38,32,30,66,44,46,62,57,59,49,35
findlocalweather,45,34,43,28,46,25,61,45,50,34,57,55,64,45,25,37,32,32,66,45,45,63,55,59,48,36
foxnews,45,34,43,30,47,26,61,43,48,35,57,57,67,44,26,39,32,32,67,44,46,61,56,63,50,38
herald,45,27,42,29,46,25,60,43,50,34,57,57,62,44,24,38,32,30,64,44,46,60,57,59,49,33
msn,45,27,43,28,46,25,61,43,48,34,55,55,64,45,25,37,32,32,66,45,46,63,55,59,48,36
nytimes,45,27,42,29,46,25,60,45,50,32,55,57,65,44,23,38,32,30,63,44,46,62,55,63,48,35
unisys,45,34,42,29,46,25,60,43,48,34,57,56,64,44,25,38,32,30,63,44,46,62,57,59,49,35
uswx,45,25,39,29,45,25,58,43,50,34,57,55,60,42,24,37,32,30,64,43,45,60,56,56,48,33
washingtonpost,45,27,42,29,45,25,60,43,48,34,55,57,64,44,25,38,32,32,66,44,46,62,57,59,46,35
weatherbug,44,31,34,30,45,24,57,44,47,34,57,54,60,44,24,38,32,31,63,43,42,59,55,59,44,35
weatherforyou,44,27,32,28,44,25,61,45,48,34,56,58,64,45,25,37,36,32,61,45,46,61,57,59,48,36
wunderground,46,34,31,28,43,26,57,44,49,32,56,53,60,40,25,38,34,29,61,41,45,60,56,58,46,35
yahoo,45,30,42,29,46,25,60,43,48,34,57,57,64,44,25,38,32,32,66,44,45,60,57,63,49,35
