Source,Austin,Baltimore,Charlotte,Chicago,Dallas,Detroit,El Paso,Fort Worth,Houston,Indianapolis,Jacksonville,Las Vegas,Los Angeles,Memphis,Milwaukee,Nashville,Oklahoma City,Philadelphia,Phoenix,Portland,San Antonio,San Diego,San Francisco,San Jose,Seattle,Washington
accuweather,45,23,36,28,44,23,54,43,49,33,55,53,59,40,28,36,32,29,62,43,45,58,51,53,45,32
aol,45,31,34,30,43,23,53,44,48,32,55,52,58,36,25,36,33,30,61,44,45,57,52,52,47,30
climaton,45,32,34,30,45,23,54,43,48,34,55,54,59,39,28,36,32,28,63,32,45,57,54,54,46,32
cnn,45,23,36,28,44,23,54,6,49,33,55,53,59,40,27,36,32,29,62,43,45,58,52,53,47,32
findlocalweather,45,32,36,30,45,23,54,45,48,34,55,54,59,39,27,36,32,28,63,43,46,57,54,54,46,32
foxnews,45,33,41,29,45,23,57,43,48,34,57,52,60,40,25,35,32,30,62,43,46,57,54,54,48,34
herald,45,23,36,30,45,23,54,43,49,33,55,53,59,40,28,36,32,29,62,43,45,58,54,53,47,32
msn,45,23,36,30,45,23,54,43,48,34,55,54,59,39,28,36,32,28,63,43,46,57,54,54,46,32
nytimes,45,23,36,30,45,23,54,44,49,32,55,53,58,40,23,36,32,29,57,42,45,55,51,55,44,32
unisys,45,32,36,30,45,23,54,43,49,33,57,53,59,40,27,36,32,29,57,43,45,58,54,53,47,32
uswx,44,23,38,30,45,23,53,43,49,33,56,53,58,40,28,36,32,29,62,43,45,58,53,53,47,31
washingtonpost,45,23,36,28,44,23,54,43,49,33,55,53,59,40,27,36,32,29,62,43,45,58,52,53,45,32
weatherbug,44,29,32,30,45,23,52,44,46,33,55,50,56,39,26,38,32,30,59,43,42,56,55,53,45,34
weatherforyou,44,23,31,30,42,23,54,45,47,33,56,51,59,39,28,36,37,28,54,43,47,57,54,53,46,32
wunderground,46,33,31,30,43,26,50,43,48,31,55,48,57,40,27,37,34,28,53,41,46,56,54,54,44,34
yahoo,45,27,36,30,45,23,54,43,48,33,55,51,59,40,27,36,32,29,62,43,46,53,54,55,47,32
