Source,Austin,Baltimore,Charlotte,Chicago,Dallas,Detroit,El Paso,Fort Worth,Houston,Indianapolis,Jacksonville,Las Vegas,Los Angeles,Memphis,Milwaukee,Nashville,Oklahoma City,Philadelphia,Phoenix,Portland,San Antonio,San Diego,San Francisco,San Jose,Seattle,Washington
accuweather,49,35,44,28,43,32,45,41,51,26,45,60,63,42,25,37,36,38,68,45,50,60,56,58,47,40
aol,47,39,38,30,43,31,45,44,50,26,51,59,63,37,21,37,36,37,68,47,50,60,56,58,50,40
climaton,48,39,43,28,45,30,45,43,52,27,52,63,66,43,25,37,36,36,70,30,50,61,57,57,50,39
cnn,48,36,47,28,43,30,45,43,51,27,48,62,66,43,25,38,37,35,69,46,50,60,57,58,50,40
findlocalweather,46,39,45,30,45,30,45,43,52,27,52,59,63,43,25,37,36,37,68,45,52,61,55,57,50,39
foxnews,48,40,47,29,44,31,45,43,50,27,51,60,66,43,25,38,37,35,69,46,51,60,57,58,50,40
herald,47,35,44,30,44,30,45,41,51,26,51,60,63,42,25,37,36,35,68,45,50,60,56,58,50,40
msn,46,36,45,30,45,30,45,41,50,27,46,59,63,43,25,37,36,37,68,45,50,61,55,57,50,39
nytimes,46,35,44,30,44,32,45,43,51,27,49,60,64,42,21,37,36,35,62,44,50,58,58,59,46,40
unisys,47,39,44,30,44,30,45,41,51,26,51,59,63,42,25,37,36,35,62,45,50,60,56,58,50,40
uswx,47,35,44,30,44,30,45,41,51,26,51,59,61,42,25,37,36,38,68,45,50,60,56,58,50,40
washingtonpost,49,35,44,28,43,32,45,41,51,26,45,60,63,42,25,37,36,38,68,45,50,60,56,58,47,40
weatherbug,44,34,36,28,45,29,46,42,47,26,51,56,60,42,23,40,35,36,66,46,46,57,55,57,46,38
weatherforyou,47,36,36,30,42,30,45,43,49,26,49,60,63,43,25,37,39,37,63,47,49,61,55,58,50,39
wunderground,48,37,36,29,43,31,48,42,51,26,49,57,61,41,23,40,34,33,66,45,48,62,56,59,46,39
yahoo,47,37,44,30,44,30,45,41,50,26,51,60,63,42,25,37,36,38,68,45,52,58,56,59,50,40
