Source,Austin,Baltimore,Charlotte,Chicago,Dallas,Detroit,El Paso,Fort Worth,Houston,Indianapolis,Jacksonville,Las Vegas,Los Angeles,Memphis,Milwaukee,Nashville,Oklahoma City,Philadelphia,Phoenix,Portland,San Antonio,San Diego,San Francisco,San Jose,Seattle,Washington
accuweather,39,31,41,25,38,26,51,35,43,29,59,47,57,40,23,33,30,32,55,41,39,58,51,49,43,34
aol,39,33,42,27,41,26,51,37,43,30,58,47,57,40,21,33,32,33,55,42,39,58,52,49,42,34
climaton,37,34,39,25,41,23,48,34,45,27,57,43,52,37,21,28,30,30,52,32,39,54,52,45,39,32
cnn,38,30,37,24,36,23,48,33,44,27,55,43,52,37,21,28,29,31,10,40,39,53,51,45,39,32
findlocalweather,39,34,41,27,41,25,52,36,45,28,57,46,57,39,23,34,30,32,55,41,41,57,50,48,43,34
foxnews,38,33,37,25,38,23,48,33,41,27,57,40,52,37,21,28,29,31,51,40,40,53,51,45,39,32
herald,39,31,41,26,41,25,51,35,45,29,58,47,57,40,23,33,31,33,55,41,39,58,51,49,42,34
msn,39,30,41,27,41,25,52,36,43,28,55,46,57,39,23,34,30,32,55,41,41,57,50,48,43,34
nytimes,37,31,41,26,41,26,51,38,44,30,56,47,50,40,19,33,30,33,56,42,39,55,48,46,41,34
unisys,39,33,41,26,41,25,51,35,43,29,58,47,57,40,23,33,31,33,56,41,40,58,51,49,42,34
uswx,39,31,41,26,41,25,51,35,45,29,58,47,54,40,23,33,30,32,55,41,41,58,51,49,42,34
washingtonpost,39,31,41,25,38,26,51,35,43,29,59,47,57,40,23,33,30,32,55,41,39,58,51,49,43,34
weatherbug,39,31,44,28,45,23,55,37,42,35,57,45,57,39,21,49,30,33,57,40,38,57,52,48,42,34
weatherforyou,38,30,44,27,45,25,52,36,43,32,60,46,57,39,29,34,35,32,57,42,43,57,52,49,43,34
wunderground,42,33,44,27,42,23,51,37,45,32,59,48,57,44,24,40,34,33,57,40,42,57,51,53,40,33
yahoo,39,32,41,26,41,25,51,35,43,29,58,46,57,40,23,33,31,32,55,41,41,55,51,46,42,34
