Source,Austin,Baltimore,Charlotte,Chicago,Dallas,Detroit,El Paso,Fort Worth,Houston,Indianapolis,Jacksonville,Las Vegas,Los Angeles,Memphis,Milwaukee,Nashville,Oklahoma City,Philadelphia,Phoenix,Portland,San Antonio,San Diego,San Francisco,San Jose,Seattle,Washington
accuweather,48,38,47,30,44,33,45,43,54,28,50,62,68,44,27,42,37,38,69,46,50,61,58,63,49,40
aol,47,40,46,29,44,32,45,45,52,29,53,61,68,39,25,42,37,37,69,48,50,61,56,63,49,40
climaton,48,41,52,30,45,32,43,43,52,28,54,61,68,46,28,45,37,37,70,30,48,63,57,63,46,41
cnn,48,39,51,30,44,32,43,43,53,29,54,61,68,47,28,45,37,37,70,46,49,62,57,62,47,41
findlocalweather,46,41,52,30,45,32,43,45,52,28,54,61,68,46,28,45,37,37,70,46,52,63,57,63,46,41
foxnews,48,41,51,30,44,32,43,43,52,29,54,60,68,47,28,45,37,37,70,46,51,62,57,62,47,41
herald,47,38,47,29,44,32,45,43,51,28,53,62,68,44,27,42,37,37,69,46,50,61,58,63,49,40
msn,46,37,46,28,45,32,45,43,52,28,50,61,68,45,27,43,37,37,70,46,50,61,57,63,48,39
nytimes,46,38,47,29,44,33,45,44,51,28,50,62,69,44,25,42,37,37,67,44,50,62,58,63,46,40
unisys,47,41,47,29,44,32,45,43,54,28,53,61,68,44,27,42,37,37,67,46,50,61,58,63,49,40
uswx,46,38,47,29,44,32,45,43,51,28,53,61,63,44,27,42,37,38,69,46,50,61,58,63,49,40
washingtonpost,48,38,47,30,44,33,45,43,54,28,50,62,68,44,27,42,37,38,69,46,50,61,58,63,49,40
weatherbug,44,37,48,28,45,31,47,42,48,30,54,59,67,46,25,45,38,37,66,47,45,63,60,62,44,39
weatherforyou,47,37,44,28,44,32,45,45,51,29,52,64,68,45,27,43,39,37,68,48,49,61,57,62,48,39
wunderground,47,40,44,29,44,33,52,43,52,29,52,61,65,44,26,43,36,36,69,44,48,66,60,64,46,40
yahoo,47,39,51,30,44,32,43,43,52,28,54,60,68,47,28,45,38,38,70,46,51,63,57,64,47,41
