Source,Austin,Baltimore,Charlotte,Chicago,Dallas,Detroit,El Paso,Fort Worth,Houston,Indianapolis,Jacksonville,Las Vegas,Los Angeles,Memphis,Milwaukee,Nashville,Oklahoma City,Philadelphia,Phoenix,Portland,San Antonio,San Diego,San Francisco,San Jose,Seattle,Washington
accuweather,35,19,32,21,34,24,52,32,39,21,39,56,59,32,19,28,28,24,65,48,36,57,53,53,48,28
aol,34,26,31,23,33,24,51,34,38,23,45,52,57,28,15,26,29,25,63,47,35,56,53,51,48,25
climaton,36,27,30,23,36,25,52,32,37,21,46,55,59,32,19,28,28,27,64,25,36,57,54,54,48,28
cnn,35,19,32,21,34,24,52,32,38,21,41,56,59,32,19,28,21,26,65,48,36,57,53,53,49,28
findlocalweather,34,27,32,23,36,25,52,34,37,21,46,54,59,32,19,28,27,25,64,48,37,57,52,54,48,28
foxnews,35,27,31,24,37,26,55,33,39,22,45,56,60,33,20,29,19,26,66,50,38,58,53,56,50,28
herald,34,19,32,23,36,24,52,32,38,21,46,55,59,32,19,28,28,26,65,48,36,57,53,53,49,28
msn,34,19,32,23,36,25,52,32,39,21,45,54,59,32,19,28,28,25,64,48,37,57,52,54,48,28
nytimes,34,19,32,23,36,24,52,34,38,21,46,56,58,32,14,28,28,26,60,47,36,55,52,55,46,28
unisys,34,27,32,23,36,24,52,32,39,21,46,53,59,32,19,28,27,26,60,48,36,57,53,53,49,28
uswx,34,19,29,22,36,24,49,32,38,21,47,53,58,32,18,28,28,24,60,44,36,57,53,53,47,27
washingtonpost,35,19,32,21,34,24,52,32,39,21,41,56,59,32,19,28,21,24,65,48,36,57,53,53,48,28
weatherbug,35,24,27,22,37,20,50,33,36,24,46,49,56,32,14,30,28,25,61,45,32,55,53,53,48,28
weatherforyou,34,19,28,23,33,25,52,34,39,24,44,51,59,32,19,28,32,25,56,49,37,55,54,54,48,28
wunderground,35,27,27,24,34,23,50,32,39,22,43,49,57,30,18,29,28,24,55,44,37,54,54,54,46,29
yahoo,34,25,32,23,36,24,52,32,39,21,46,53,59,32,19,28,28,24,65,48,38,52,53,55,49,28
