Source,Austin,Baltimore,Charlotte,Chicago,Dallas,Detroit,El Paso,Fort Worth,Houston,Indianapolis,Jacksonville,Las Vegas,Los Angeles,Memphis,Milwaukee,Nashville,Oklahoma City,Philadelphia,Phoenix,Portland,San Antonio,San Diego,San Francisco,San Jose,Seattle,Washington
accuweather,48,36,41,27,45,33,44,45,49,26,55,48,57,43,29,41,32,35,59,44,50,57,51,49,43,38
aol,46,38,40,28,45,32,42,46,48,27,52,49,56,40,25,40,33,33,60,45,50,59,52,50,46,35
climaton,48,37,39,25,45,30,43,43,48,25,52,43,52,39,27,39,30,32,57,30,50,57,48,46,45,36
cnn,48,33,37,26,45,30,43,43,49,25,54,43,51,40,27,39,31,32,57,43,50,57,48,46,45,35
findlocalweather,46,37,39,25,45,30,43,43,48,25,52,45,52,39,27,39,30,34,57,43,52,57,46,46,45,36
foxnews,49,36,36,24,43,29,43,40,48,24,50,37,49,37,26,38,30,32,54,43,52,56,45,45,42,34
herald,47,36,41,26,45,31,44,45,51,26,54,48,57,43,29,41,32,34,59,44,50,57,51,49,46,38
msn,46,36,39,25,45,30,45,45,48,27,48,48,57,43,28,41,32,36,59,43,52,57,48,48,46,37
nytimes,46,33,39,25,44,32,43,45,49,27,48,43,47,40,23,39,31,32,58,43,50,55,48,45,45,35
unisys,47,40,41,26,45,31,44,45,49,26,54,49,57,43,29,41,32,34,62,44,50,57,51,49,46,38
uswx,47,36,41,26,45,31,44,45,51,26,54,49,55,43,29,41,32,35,59,44,50,57,51,49,46,38
washingtonpost,48,33,39,26,45,32,43,43,48,25,54,43,51,40,27,39,31,33,57,43,50,57,48,46,42,35
weatherbug,48,35,39,27,44,29,43,43,46,26,52,42,55,39,24,43,34,33,56,44,46,55,50,46,44,36
weatherforyou,46,34,44,27,42,30,45,45,49,25,57,47,57,43,28,41,37,34,61,44,50,57,48,48,46,37
wunderground,47,38,44,28,44,33,45,46,51,28,57,49,56,45,27,41,38,35,59,40,49,53,51,49,43,38
yahoo,46,36,39,25,44,30,43,43,48,25,52,39,57,40,27,39,32,33,57,43,52,55,48,45,45,35
