Source,Austin,Baltimore,Charlotte,Chicago,Dallas,Detroit,El Paso,Fort Worth,Houston,Indianapolis,Jacksonville,Las Vegas,Los Angeles,Memphis,Milwaukee,Nashville,Oklahoma City,Philadelphia,Phoenix,Portland,San Antonio,San Diego,San Francisco,San Jose,Seattle,Washington
accuweather,45,25,39,29,45,23,58,43,49,34,55,56,62,42,24,37,32,30,64,43,45,60,56,56,45,33
aol,45,31,36,28,44,25,56,44,49,34,57,54,61,37,23,36,32,30,64,45,45,59,55,54,48,32
climaton,45,34,37,28,45,25,57,43,50,34,57,55,63,43,25,37,32,28,64,30,45,61,55,55,48,34
cnn,45,25,39,29,45,25,58,43,50,34,55,56,62,42,24,37,32,29,64,43,45,60,56,56,48,33
findlocalweather,45,34,39,28,45,25,57,45,50,34,57,55,63,43,25,37,32,30,64,43,45,61,55,55,48,34
foxnews,45,34,42,29,46,25,60,43,48,34,57,55,64,44,25,38,32,30,66,44,46,62,57,59,49,35
herald,45,25,39,29,45,25,58,43,50,34,57,56,62,42,24,37,32,29,64,43,45,60,56,56,48,33
msn,45,25,39,28,45,25,57,43,48,34,55,55,63,43,25,37,32,30,64,43,46,61,55,55,48,34
nytimes,45,25,39,29,45,23,58,45,50,32,55,56,63,42,23,37,32,29,63,43,45,59,55,59,46,33
unisys,45,33,39,29,45,25,58,43,49,34,57,55,62,42,24,37,32,29,63,43,45,60,56,56,48,33
uswx,45,25,39,29,45,25,58,43,50,34,57,55,60,42,24,37,32,30,64,43,45,60,56,56,48,33
washingtonpost,45,25,39,29,45,23,58,43,49,34,55,56,62,42,24,37,32,30,64,43,45,60,56,56,45,33
weatherbug,44,31,34,30,45,24,57,44,47,34,57,54,60,44,24,38,32,31,63,43,42,59,55,59,44,35
weatherforyou,44,25,31,28,43,25,57,45,48,33,56,54,63,43,25,37,36,30,58,43,46,59,55,57,48,34
wunderground,46,34,31,29,43,26,55,43,49,31,56,51,59,41,25,38,34,29,59,41,45,58,55,57,45,35
yahoo,45,28,39,29,45,25,58,43,48,34,57,55,62,42,24,37,32,30,64,43,45,57,56,59,48,33
