Source,Austin,Baltimore,Charlotte,Chicago,Dallas,Detroit,El Paso,Fort Worth,Houston,Indianapolis,Jacksonville,Las Vegas,Los Angeles,Memphis,Milwaukee,Nashville,Oklahoma City,Philadelphia,Phoenix,Portland,San Antonio,San Diego,San Francisco,San Jose,Seattle,Washington
accuweather,45,23,36,28,44,23,54,43,49,33,55,53,59,40,27,36,32,29,62,43,45,58,54,53,45,32
aol,45,31,31,29,43,23,54,42,48,33,57,50,59,35,23,35,31,30,60,45,45,57,53,51,48,31
climaton,45,34,36,28,45,23,57,43,50,34,57,54,61,39,25,36,32,30,63,32,45,57,54,54,48,34
cnn,45,25,39,29,45,25,58,43,50,34,55,56,62,42,24,37,32,29,64,43,45,60,56,56,48,33
findlocalweather,45,34,41,28,45,23,57,45,50,34,57,54,61,39,25,36,32,30,63,43,45,57,54,54,48,34
foxnews,45,33,41,29,45,23,57,43,48,34,57,52,60,40,25,35,32,30,62,43,46,57,54,54,48,34
herald,45,23,36,30,45,23,54,43,49,33,57,53,59,40,27,36,32,29,62,43,45,58,54,53,47,32
msn,45,23,36,30,45,23,54,43,48,34,55,54,59,39,27,36,32,28,63,43,46,57,54,54,46,32
nytimes,45,25,41,29,45,24,57,44,50,32,55,54,60,40,23,35,32,30,59,43,45,57,53,57,45,34
unisys,45,32,36,30,45,23,54,43,49,33,57,53,59,40,27,36,32,29,57,43,45,58,54,53,47,32
uswx,45,23,36,30,45,23,54,43,49,33,57,53,58,40,27,36,32,29,62,43,45,58,54,53,47,32
washingtonpost,45,25,41,28,44,24,57,43,48,34,55,54,60,40,25,35,32,30,62,43,45,57,54,54,45,34
weatherbug,45,31,33,29,45,24,55,43,46,34,57,51,57,39,25,38,32,30,62,44,42,57,54,54,44,34
weatherforyou,44,25,30,30,42,23,54,45,47,33,56,53,59,39,27,36,36,30,55,43,46,57,54,54,46,32
wunderground,46,33,30,30,43,26,52,43,48,31,56,48,57,39,26,37,34,29,54,41,46,56,54,55,44,34
yahoo,45,27,41,29,45,23,57,43,48,34,57,52,59,40,25,35,32,30,62,43,45,55,54,57,48,34
