Source,Austin,Baltimore,Charlotte,Chicago,Dallas,Detroit,El Paso,Fort Worth,Houston,Indianapolis,Jacksonville,Las Vegas,Los Angeles,Memphis,Milwaukee,Nashville,Oklahoma City,Philadelphia,Phoenix,Portland,San Antonio,San Diego,San Francisco,San Jose,Seattle,Washington
accuweather,44,16,24,25,29,21,50,29,38,25,68,54,62,26,24,25,29,18,64,44,50,61,54,56,46,18
aol,43,18,24,23,31,19,51,32,39,25,69,53,63,27,22,25,27,18,65,46,51,61,53,57,48,18
climaton,41,18,25,23,30,19,46,28,41,25,68,52,61,25,23,25,23,19,63,21,48,61,52,54,46,19
cnn,44,16,24,25,29,19,50,29,42,25,68,54,62,26,24,25,29,18,64,44,50,61,54,56,48,19
findlocalweather,43,18,25,23,30,19,50,30,43,25,70,54,63,27,25,25,28,18,64,45,50,61,54,55,48,18
foxnews,41,18,24,23,30,20,47,28,37,24,68,52,61,25,23,25,27,19,62,43,47,61,52,54,47,19
herald,43,16,24,23,30,19,50,29,42,25,69,54,62,26,24,25,23,18,64,44,50,61,54,56,48,19
msn,43,16,25,23,30,19,50,28,39,25,68,54,63,27,25,25,28,18,64,45,50,61,54,55,48,18
nytimes,39,16,24,23,30,21,50,29,42,23,68,54,60,26,21,25,28,18,63,43,50,63,55,57,46,19
unisys,43,18,24,23,30,19,50,29,38,25,69,53,62,26,24,25,23,18,63,44,50,61,54,56,47,18
uswx,43,16,24,23,30,18,50,29,42,25,69,53,59,26,25,25,28,18,64,45,50,61,54,56,48,19
washingtonpost,44,16,24,25,29,21,50,29,38,25,68,54,62,26,24,25,29,18,64,44,50,61,54,56,46,18
weatherbug,41,14,21,20,29,18,53,29,36,26,68,54,60,25,22,26,27,17,62,44,46,60,54,54,45,15
weatherforyou,43,16,26,23,30,19,50,30,42,25,69,57,63,27,25,25,29,18,66,46,51,62,54,58,48,18
wunderground,44,16,23,22,30,20,53,30,39,26,68,55,60,26,24,24,32,17,66,41,51,62,55,59,45,17
yahoo,43,18,24,23,30,19,50,29,39,25,69,54,62,26,24,25,23,20,64,44,50,62,54,57,47,18
