Source,Austin,Baltimore,Charlotte,Chicago,Dallas,Detroit,El Paso,Fort Worth,Houston,Indianapolis,Jacksonville,Las Vegas,Los Angeles,Memphis,Milwaukee,Nashville,Oklahoma City,Philadelphia,Phoenix,Portland,San Antonio,San Diego,San Francisco,San Jose,Seattle,Washington
accuweather,35,28,38,28,34,26,54,33,41,28,48,55,64,36,25,36,27,30,65,49,34,60,53,57,46,31
aol,34,31,38,30,36,25,54,35,41,29,45,54,64,36,23,36,28,30,65,51,34,60,51,57,48,31
climaton,34,30,36,28,36,23,52,32,39,27,45,54,63,34,25,34,27,28,63,27,34,59,52,54,48,30
cnn,33,27,36,28,33,23,52,32,39,27,48,54,62,34,25,33,27,29,63,49,33,59,52,53,48,30
findlocalweather,34,30,37,28,36,25,54,34,39,28,45,54,64,36,25,36,27,30,64,48,36,61,52,57,48,30
foxnews,33,30,36,28,34,23,52,32,39,27,44,54,62,34,25,33,27,29,63,49,36,59,52,53,48,30
herald,34,28,38,29,36,25,54,33,40,28,45,55,64,36,25,36,26,29,65,49,34,60,53,57,48,31
msn,34,28,37,28,36,25,54,34,39,28,43,54,64,36,25,36,27,30,64,48,36,61,52,57,48,30
nytimes,32,28,38,29,36,26,54,34,40,27,43,55,61,36,21,36,27,29,63,50,34,59,51,57,46,31
unisys,34,31,38,29,36,25,54,33,41,28,45,54,64,36,25,36,26,29,63,49,34,60,53,57,48,31
uswx,34,28,38,29,36,25,54,33,40,28,45,54,61,36,25,36,27,30,65,49,34,60,53,57,48,31
washingtonpost,35,28,38,28,34,26,54,33,41,28,48,55,64,36,25,36,27,30,65,49,34,60,53,57,46,31
weatherbug,33,27,39,27,37,22,55,32,37,29,44,53,63,34,21,43,26,29,63,50,31,57,53,53,45,31
weatherforyou,35,28,41,28,39,25,54,34,40,29,41,60,64,36,25,36,31,28,67,51,37,61,52,57,48,30
wunderground,37,29,37,31,37,25,55,34,40,30,49,56,63,41,24,32,29,29,67,45,37,60,56,59,45,31
yahoo,33,28,36,28,34,23,52,32,39,27,44,54,62,34,25,33,27,28,63,49,36,59,52,55,48,30
