Source,Austin,Baltimore,Charlotte,Chicago,Dallas,Detroit,El Paso,Fort Worth,Houston,Indianapolis,Jacksonville,Las Vegas,Los Angeles,Memphis,Milwaukee,Nashville,Oklahoma City,Philadelphia,Phoenix,Portland,San Antonio,San Diego,San Francisco,San Jose,Seattle,Washington
accuweather,48,40,50,31,45,34,43,45,53,28,55,59,66,47,32,44,37,39,69,46,48,63,55,60,45,41
aol,46,41,50,31,45,34,43,45,52,29,52,60,67,45,29,43,38,39,69,48,48,63,54,61,45,38
climaton,48,43,50,30,46,34,43,45,54,28,54,59,66,46,32,45,37,37,70,30,48,63,55,61,45,41
cnn,48,40,50,31,45,34,43,45,53,28,55,59,66,47,32,44,36,37,69,46,49,61,55,60,45,41
findlocalweather,46,43,50,30,46,34,43,46,54,28,54,59,66,46,32,45,36,39,70,46,52,63,55,61,45,41
foxnews,49,43,48,30,46,33,44,46,54,28,53,55,64,48,28,44,34,38,67,46,51,61,53,58,45,42
herald,46,40,50,31,46,34,43,45,53,28,53,59,66,47,32,44,37,39,69,46,48,63,55,60,45,41
msn,46,39,50,30,46,34,43,45,52,28,52,59,66,46,32,45,37,39,70,46,50,63,55,61,45,41
nytimes,48,40,50,31,46,34,43,45,53,28,52,59,67,47,27,44,37,39,66,45,48,61,57,61,44,41
unisys,47,42,50,31,46,34,43,45,53,28,53,59,66,47,32,44,37,38,66,46,49,61,55,60,45,41
uswx,47,40,50,31,46,34,44,45,53,28,52,59,63,47,32,44,37,39,70,46,48,62,55,60,45,41
washingtonpost,48,40,50,31,45,34,43,45,53,28,55,59,66,47,32,44,36,39,69,46,48,63,55,60,45,41
weatherbug,44,38,48,28,44,31,44,43,49,30,53,58,66,46,24,48,38,38,67,46,44,62,58,60,44,39
weatherforyou,46,39,53,30,45,34,43,46,52,30,53,62,66,46,32,45,39,39,69,48,48,63,55,62,45,41
wunderground,47,41,48,30,45,34,45,44,53,30,53,59,68,49,27,46,41,37,70,44,47,61,60,63,45,39
yahoo,47,41,50,31,46,34,43,45,54,28,53,57,66,47,32,44,37,39,69,46,52,60,55,61,45,41
