Source,Austin,Baltimore,Charlotte,Chicago,Dallas,Detroit,El Paso,Fort Worth,Houston,Indianapolis,Jacksonville,Las Vegas,Los Angeles,Memphis,Milwaukee,Nashville,Oklahoma City,Philadelphia,Phoenix,Portland,San Antonio,San Diego,San Francisco,San Jose,Seattle,Washington
accuweather,45,25,41,28,44,24,57,43,48,34,55,54,60,40,25,35,32,30,62,43,45,57,54,54,45,34
aol,45,33,40,29,44,23,57,44,49,33,57,54,60,36,23,35,32,30,62,45,45,57,54,54,48,34
climaton,45,34,37,28,45,25,57,43,50,34,57,55,63,43,25,37,32,28,64,30,45,61,55,55,48,34
cnn,45,25,39,29,45,25,58,43,50,34,55,56,62,42,24,37,32,29,64,43,45,60,56,56,48,33
findlocalweather,45,34,41,28,45,23,57,45,50,34,57,54,61,39,25,36,32,30,63,43,46,57,54,54,48,34
foxnews,45,33,39,29,45,25,58,43,48,34,57,53,62,42,24,37,32,29,64,43,45,60,56,56,48,33
herald,45,25,41,29,45,23,57,43,50,34,57,54,60,40,25,35,32,30,62,43,45,57,54,54,48,34
msn,45,25,41,28,45,23,57,43,48,34,55,54,61,39,25,36,32,30,63,43,45,57,54,54,48,34
nytimes,45,25,41,29,45,24,57,44,50,30,55,54,60,40,23,35,32,30,59,43,45,57,54,57,45,34
unisys,45,33,41,29,45,23,57,43,48,34,57,54,60,40,25,35,32,30,59,43,45,58,54,54,48,34
uswx,45,25,41,29,45,23,57,43,50,34,57,54,59,40,25,35,32,30,62,43,45,57,54,54,48,34
washingtonpost,45,25,41,28,44,24,57,43,48,34,55,54,60,40,25,35,32,30,62,43,45,58,54,54,45,34
weatherbug,45,31,33,29,45,24,55,43,46,34,57,51,57,39,25,38,32,30,62,44,42,57,54,54,44,35
weatherforyou,44,25,30,28,42,23,57,45,47,34,57,53,61,39,25,36,36,30,57,43,46,57,54,55,48,34
wunderground,46,34,30,30,43,26,54,43,49,31,56,49,58,40,25,37,34,29,56,41,45,57,55,56,45,35
yahoo,45,27,41,29,45,23,57,43,48,34,57,52,60,40,25,35,32,30,62,43,46,55,54,57,48,34
