Source,Austin,Baltimore,Charlotte,Chicago,Dallas,Detroit,El Paso,Fort Worth,Houston,Indianapolis,Jacksonville,Las Vegas,Los Angeles,Memphis,Milwaukee,Nashville,Oklahoma City,Philadelphia,Phoenix,Portland,San Antonio,San Diego,San Francisco,San Jose,Seattle,Washington
accuweather,38,17,24,21,30,15,50,29,36,18,64,56,58,26,22,26,21,17,65,44,46,58,57,56,46,19
aol,40,19,25,20,30,15,49,31,35,19,68,55,58,26,20,25,25,17,65,47,48,58,55,55,48,18
climaton,41,19,23,21,30,16,52,28,37,19,68,57,61,27,21,25,25,16,66,23,50,61,57,57,48,18
cnn,41,17,24,22,30,16,52,29,38,20,66,58,61,26,22,25,22,16,67,46,50,60,57,58,48,18
findlocalweather,43,19,25,21,30,16,52,30,37,19,68,57,61,27,21,25,21,18,66,46,52,61,57,57,48,18
foxnews,41,19,24,22,31,16,52,29,36,20,68,59,61,26,22,25,22,16,67,46,51,60,57,58,48,18
herald,40,17,24,22,31,16,50,29,37,18,66,56,58,26,22,26,24,17,65,44,46,58,55,56,48,19
msn,39,18,25,21,30,16,50,28,36,19,66,57,57,27,21,25,21,18,64,46,50,57,57,57,48,18
nytimes,37,17,25,22,31,15,52,30,38,16,67,58,62,26,21,25,22,16,65,44,50,58,56,57,46,18
unisys,40,19,24,22,31,16,50,29,36,18,66,55,58,26,22,26,24,17,63,44,46,58,55,56,48,19
uswx,40,18,24,22,31,16,50,29,37,18,66,55,58,26,22,26,21,18,65,44,46,58,55,56,48,19
washingtonpost,41,17,25,22,30,15,52,29,36,20,66,58,61,26,22,25,22,18,67,46,50,60,57,58,46,18
weatherbug,41,14,22,21,31,16,50,30,33,20,68,55,57,26,20,27,27,16,65,45,45,57,56,57,45,16
weatherforyou,39,18,24,21,30,16,50,30,37,19,67,59,57,27,21,27,27,18,62,47,47,58,57,57,48,19
wunderground,40,17,22,22,31,17,51,30,36,19,64,55,57,27,22,25,27,17,62,42,46,57,56,57,45,17
yahoo,42,18,25,22,31,16,52,29,36,20,68,58,61,26,22,25,25,18,67,46,51,58,57,59,48,18
