Source,Austin,Baltimore,Charlotte,Chicago,Dallas,Detroit,El Paso,Fort Worth,Houston,Indianapolis,Jacksonville,Las Vegas,Los Angeles,Memphis,Milwaukee,Nashville,Oklahoma City,Philadelphia,Phoenix,Portland,San Antonio,San Diego,San Francisco,San Jose,Seattle,Washington
accuweather,49,33,39,28,44,30,44,42,49,26,45,52,59,40,22,33,36,34,61,45,50,58,55,55,46,38
aol,47,36,38,30,43,30,44,43,48,28,50,50,59,36,18,33,36,33,61,47,50,58,56,55,47,38
climaton,48,37,37,30,45,28,45,43,50,27,50,57,61,39,25,34,36,36,63,30,50,57,55,55,46,37
cnn,49,34,41,28,44,28,44,42,50,26,42,57,60,40,24,34,36,35,62,45,50,58,55,55,46,37
findlocalweather,46,36,39,30,45,28,45,43,50,27,50,50,59,39,21,34,36,34,61,45,52,57,54,55,46,37
foxnews,49,37,41,30,44,28,44,42,48,26,50,50,60,40,24,34,36,35,62,45,52,58,55,55,46,37
herald,47,33,39,30,44,29,44,42,50,26,50,52,59,40,22,33,36,33,61,45,50,58,55,55,47,38
msn,46,34,39,30,45,28,45,43,48,27,46,50,59,39,21,34,36,34,61,45,52,57,54,55,46,37
nytimes,46,33,39,30,44,30,44,44,50,28,48,52,56,40,18,33,36,33,57,45,50,55,54,54,44,38
unisys,47,36,39,30,44,29,44,42,49,26,50,50,59,40,22,33,35,33,57,45,50,58,55,55,47,38
uswx,46,33,39,30,44,29,45,42,50,26,50,50,58,40,22,33,36,34,61,45,50,58,55,55,47,38
washingtonpost,49,33,39,28,44,30,44,42,49,26,45,57,59,40,22,33,36,34,61,45,50,58,55,55,46,38
weatherbug,44,33,35,30,44,27,44,41,46,27,50,50,57,39,21,36,34,33,61,47,46,57,55,55,45,37
weatherforyou,47,34,35,30,42,28,45,43,48,27,47,49,59,39,21,34,40,34,55,48,50,57,55,55,46,37
wunderground,47,36,35,30,43,29,47,42,49,27,46,50,58,38,21,37,34,30,59,45,50,57,55,55,45,38
yahoo,47,36,39,30,44,29,44,42,48,26,50,52,59,40,22,33,35,34,61,45,52,52,55,57,47,38
