Source,Austin,Baltimore,Charlotte,Chicago,Dallas,Detroit,El Paso,Fort Worth,Houston,Indianapolis,Jacksonville,Las Vegas,Los Angeles,Memphis,Milwaukee,Nashville,Oklahoma City,Philadelphia,Phoenix,Portland,San Antonio,San Diego,San Francisco,San Jose,Seattle,Washington
accuweather,35,18,29,20,33,22,49,32,39,20,39,54,57,31,18,27,28,24,60,44,36,57,53,53,48,27
aol,34,25,28,22,33,21,48,32,38,22,46,50,56,28,13,25,29,24,58,44,36,57,54,52,46,24
climaton,36,27,28,21,36,21,48,32,37,19,46,54,57,30,18,27,28,25,61,25,36,57,54,54,46,27
cnn,35,18,29,20,33,22,49,32,38,20,40,54,57,31,18,27,28,25,60,44,36,57,53,53,47,27
findlocalweather,34,27,28,21,36,21,48,32,37,19,46,54,57,30,18,27,28,25,61,45,37,57,52,54,46,27
foxnews,35,27,32,23,36,24,52,32,39,21,46,53,59,32,19,28,19,26,65,48,38,57,53,53,49,28
herald,34,18,29,22,35,22,49,32,38,19,47,54,57,31,18,27,28,25,60,44,36,57,53,53,47,27
msn,34,18,28,21,36,21,48,32,39,19,46,54,57,30,18,27,28,25,61,45,37,57,52,54,46,27
nytimes,34,18,29,22,35,22,49,33,38,19,47,54,57,31,14,27,28,25,58,44,36,54,51,51,46,27
unisys,34,26,29,22,35,22,49,32,39,20,47,53,57,31,18,27,28,25,58,44,36,57,53,53,47,27
uswx,34,18,29,22,35,22,49,32,38,20,47,53,57,31,18,27,28,24,60,44,36,57,53,53,47,27
washingtonpost,35,18,29,20,33,22,49,32,39,20,39,54,57,31,18,27,28,24,60,44,36,57,53,53,48,27
weatherbug,35,24,27,22,37,20,50,33,36,24,46,49,56,32,14,30,28,25,61,45,32,55,53,53,48,28
weatherforyou,34,18,28,21,33,21,48,32,38,22,43,49,57,30,18,27,33,25,54,47,37,53,54,52,46,27
wunderground,36,28,27,24,34,22,48,31,38,21,43,48,57,30,17,29,28,24,53,44,37,52,54,52,46,29
yahoo,34,27,29,22,35,22,49,32,39,20,47,49,57,31,18,27,28,24,60,44,38,50,53,55,47,27
