Source,Austin,Baltimore,Charlotte,Chicago,Dallas,Detroit,El Paso,Fort Worth,Houston,Indianapolis,Jacksonville,Las Vegas,Los Angeles,Memphis,Milwaukee,Nashville,Oklahoma City,Philadelphia,Phoenix,Portland,San Antonio,San Diego,San Francisco,San Jose,Seattle,Washington
accuweather,46,29,34,29,42,24,41,41,49,32,55,46,56,39,29,36,34,30,53,40,48,54,48,47,41,30
aol,46,33,35,29,42,24,40,42,48,31,57,44,55,35,27,36,34,28,50,41,48,53,50,47,42,33
climaton,45,30,34,28,43,25,41,39,48,30,57,45,55,37,28,36,34,21,52,28,48,54,48,46,43,30
cnn,45,28,35,28,42,24,41,40,49,31,55,45,55,37,28,36,34,22,52,40,48,54,49,47,43,30
findlocalweather,46,30,36,28,43,25,41,41,48,30,57,45,55,37,28,36,34,27,52,39,48,54,48,46,43,30
foxnews,45,30,35,28,43,24,41,40,48,31,58,41,56,37,28,36,34,22,52,40,48,54,49,47,42,30
herald,46,29,34,29,42,24,41,41,50,32,58,46,56,39,29,36,33,27,53,40,48,54,48,47,43,30
msn,46,28,34,28,43,25,41,41,48,32,57,45,55,39,28,36,34,30,54,39,48,54,46,46,43,30
nytimes,45,28,35,28,43,23,41,42,48,32,57,45,48,37,25,36,34,22,54,41,48,52,47,45,45,30
unisys,46,31,34,29,42,24,41,41,49,32,58,44,56,39,29,36,33,27,53,40,48,54,48,47,43,30
uswx,46,29,34,29,42,24,41,41,50,32,57,44,54,39,29,36,34,30,53,40,48,54,48,47,43,30
washingtonpost,45,28,35,28,42,23,41,40,48,31,55,45,55,37,28,36,34,27,52,40,48,54,49,47,41,30
weatherbug,46,29,33,28,43,23,41,42,46,33,57,41,53,37,27,38,31,28,52,40,44,52,50,46,44,29
weatherforyou,44,28,34,28,39,25,41,43,47,31,57,41,55,39,28,36,37,27,52,39,48,51,48,45,43,30
wunderground,47,31,33,29,43,24,40,42,48,32,56,41,53,39,28,37,35,26,47,40,47,51,48,46,42,30
yahoo,46,28,35,28,43,24,41,40,48,31,57,43,55,37,28,36,33,27,52,40,48,53,49,47,42,30
