Source,Austin,Baltimore,Charlotte,Chicago,Dallas,Detroit,El Paso,Fort Worth,Houston,Indianapolis,Jacksonville,Las Vegas,Los Angeles,Memphis,Milwaukee,Nashville,Oklahoma City,Philadelphia,Phoenix,Portland,San Antonio,San Diego,San Francisco,San Jose,Seattle,Washington
accuweather,51,30,37,25,39,27,50,40,50,32,50,51,56,32,28,38,31,30,60,45,50,58,54,52,46,31
aol,50,32,38,25,40,27,49,39,52,32,51,48,55,30,27,35,32,31,60,46,50,58,53,52,46,32
climaton,52,32,37,25,41,27,50,39,54,32,52,52,55,32,30,37,30,30,61,28,50,57,54,52,46,32
cnn,50,30,37,27,38,27,50,38,54,33,52,52,57,36,31,39,30,32,16,46,51,58,55,53,49,33
findlocalweather,50,32,37,25,41,27,50,41,54,32,52,48,55,32,30,37,30,30,61,45,52,57,54,52,46,32
foxnews,50,32,37,27,42,27,50,38,54,33,54,47,57,36,31,39,30,33,62,46,51,58,55,53,49,33
herald,50,30,37,25,41,27,50,40,53,32,52,51,56,32,30,38,30,30,60,45,50,58,54,52,46,32
msn,50,30,37,25,41,27,50,39,54,32,52,48,55,32,30,37,30,30,61,45,50,57,54,52,46,32
nytimes,48,30,37,25,41,27,50,39,53,32,52,51,54,32,27,38,31,30,59,44,50,56,53,52,45,32
unisys,50,32,37,25,41,27,50,40,50,32,52,49,56,32,29,38,31,30,59,45,50,58,54,52,46,32
uswx,50,30,37,25,41,27,50,40,53,32,52,49,56,32,30,38,30,30,60,45,50,58,54,52,46,32
washingtonpost,51,30,37,25,39,27,50,40,50,32,50,51,56,32,28,38,31,30,60,45,50,58,54,52,46,31
weatherbug,51,30,36,24,44,27,47,42,51,33,52,46,55,32,27,39,29,30,62,45,45,57,53,52,46,31
weatherforyou,49,30,36,25,37,27,50,41,52,32,53,48,55,32,28,37,36,30,58,46,51,57,54,49,46,32
wunderground,50,30,36,26,42,28,53,39,53,32,50,46,56,32,29,38,32,30,59,41,50,55,54,48,45,31
yahoo,50,32,37,25,41,27,50,40,54,32,52,51,56,32,30,38,30,30,60,45,52,56,54,52,46,32
