Source,Austin,Baltimore,Charlotte,Chicago,Dallas,Detroit,El Paso,Fort Worth,Houston,Indianapolis,Jacksonville,Las Vegas,Los Angeles,Memphis,Milwaukee,Nashville,Oklahoma City,Philadelphia,Phoenix,Portland,San Antonio,San Diego,San Francisco,San Jose,Seattle,Washington
accuweather,35,17,29,20,34,20,50,31,38,21,39,50,57,30,17,26,28,23,58,44,36,56,53,53,48,24
aol,34,25,27,22,32,20,50,31,38,21,47,49,57,28,13,26,28,23,58,44,36,56,54,53,48,24
climaton,36,27,28,21,36,21,48,32,37,19,46,54,57,30,18,27,28,25,61,25,36,57,54,54,46,27
cnn,35,18,29,20,33,22,49,32,38,20,40,54,57,31,18,27,28,25,60,44,36,57,53,53,47,27
findlocalweather,34,27,28,21,32,21,50,30,37,21,46,48,57,30,18,27,28,23,57,45,37,55,52,54,48,25
foxnews,35,26,29,22,35,22,49,32,39,20,47,49,57,31,18,27,28,25,60,44,38,57,53,53,47,27
herald,34,17,29,21,32,21,50,31,38,21,47,50,57,30,17,26,27,24,58,44,36,56,53,53,48,24
msn,34,18,28,21,32,21,50,30,39,21,46,48,57,30,18,27,28,23,57,45,37,55,52,54,48,25
nytimes,34,17,29,21,32,20,50,34,38,18,48,50,54,30,14,26,28,24,55,42,36,53,51,50,46,24
unisys,34,26,29,21,32,21,50,31,38,21,47,49,57,30,17,26,27,24,55,44,36,56,53,53,48,24
uswx,34,17,29,21,32,21,50,31,38,21,47,49,56,30,17,26,28,23,58,44,36,56,53,53,48,24
washingtonpost,35,17,29,20,34,20,50,31,38,21,39,54,57,30,17,26,28,23,58,44,36,56,53,53,48,24
weatherbug,35,25,25,21,36,18,50,33,36,21,46,47,55,30,13,28,26,25,59,44,32,54,54,53,47,28
weatherforyou,33,18,28,21,32,21,50,30,38,20,43,46,57,30,18,27,33,23,53,46,37,53,54,51,48,25
wunderground,36,28,27,23,34,21,48,31,38,20,42,46,56,29,16,28,28,24,52,43,37,52,54,51,45,29
yahoo,34,27,29,21,32,21,50,31,39,20,47,49,57,30,17,26,27,24,58,44,38,50,53,55,48,24
