Source,Austin,Baltimore,Charlotte,Chicago,Dallas,Detroit,El Paso,Fort Worth,Houston,Indianapolis,Jacksonville,Las Vegas,Los Angeles,Memphis,Milwaukee,Nashville,Oklahoma City,Philadelphia,Phoenix,Portland,San Antonio,San Diego,San Francisco,San Jose,Seattle,Washington
accuweather,32,23,31,20,31,19,41,31,37,20,45,43,49,29,18,24,24,21,51,44,32,51,49,49,45,24
aol,32,25,32,23,33,21,43,32,37,24,44,49,52,32,16,26,26,23,54,46,33,53,47,50,47,25
climaton,32,21,27,18,30,19,39,30,36,16,43,41,46,25,16,18,21,19,48,28,32,50,48,50,46,21
cnn,31,17,22,15,31,16,39,29,36,12,41,42,48,22,15,14,23,17,48,43,31,51,48,49,47,19
findlocalweather,30,25,30,19,32,19,41,30,37,19,43,46,48,28,18,25,25,21,52,45,34,52,45,48,46,25
foxnews,32,21,27,18,31,18,39,30,34,15,42,37,47,25,16,18,23,19,49,43,33,50,49,50,47,22
herald,31,23,31,20,32,19,41,31,37,20,43,43,49,29,18,24,23,22,51,44,32,51,49,49,47,24
msn,30,23,30,19,32,19,41,30,36,19,43,46,48,28,18,25,25,21,52,45,32,52,45,48,46,25
nytimes,32,23,31,20,32,19,41,31,37,23,42,43,44,29,14,24,25,22,53,44,32,50,45,46,45,24
unisys,31,24,31,20,32,19,41,31,37,20,43,47,49,29,18,24,23,22,53,44,32,51,49,49,47,24
uswx,31,23,31,20,32,19,41,31,37,20,43,47,48,29,18,24,25,21,51,45,32,51,49,49,47,24
washingtonpost,32,23,31,20,31,20,41,31,37,20,45,43,49,29,18,24,24,21,51,44,32,51,49,49,45,24
weatherbug,32,22,32,21,33,19,46,30,34,25,43,45,50,28,16,42,23,23,55,46,29,55,49,48,43,23
weatherforyou,30,23,34,19,33,19,41,30,36,24,41,46,48,28,18,25,28,21,56,47,34,55,48,46,46,25
wunderground,34,24,32,24,32,20,43,31,37,25,45,44,50,32,19,24,27,24,54,43,34,54,48,47,44,26
yahoo,31,21,31,20,32,19,41,31,36,20,43,39,49,29,18,24,23,21,51,44,33,49,49,46,47,24
