Source,Austin,Baltimore,Charlotte,Chicago,Dallas,Detroit,El Paso,Fort Worth,Houston,Indianapolis,Jacksonville,Las Vegas,Los Angeles,Memphis,Milwaukee,Nashville,Oklahoma City,Philadelphia,Phoenix,Portland,San Antonio,San Diego,San Francisco,San Jose,Seattle,Washington
accuweather,35,18,26,22,27,19,36,26,36,19,63,41,51,25,20,23,22,19,55,42,37,52,46,46,44,18
aol,36,19,26,22,28,18,37,28,35,20,63,41,49,26,18,23,21,19,54,44,37,53,49,45,44,18
climaton,34,21,27,19,27,16,34,25,36,18,63,41,48,25,19,23,19,18,52,16,34,52,46,45,45,19
cnn,33,19,27,20,26,16,33,25,36,17,63,41,48,25,19,23,22,18,52,42,34,51,46,45,44,19
findlocalweather,36,21,27,19,27,16,34,27,36,18,63,39,48,25,19,23,21,19,52,43,36,52,46,45,45,18
foxnews,33,21,27,20,27,16,33,25,34,17,63,36,48,25,19,23,20,18,52,42,36,51,46,45,44,19
herald,34,18,26,21,27,17,36,26,37,19,63,42,51,25,20,23,20,17,55,42,37,52,47,46,45,18
msn,34,18,27,21,27,18,36,27,36,19,63,41,52,25,19,23,21,19,55,43,37,52,46,46,45,18
nytimes,32,18,27,19,27,16,33,26,36,18,63,41,41,25,14,23,21,18,49,42,34,48,46,43,44,18
unisys,34,19,26,21,27,17,36,26,36,19,63,41,51,25,20,23,20,17,54,42,37,52,47,46,45,18
uswx,34,18,27,21,27,17,36,26,37,19,63,41,50,25,20,23,22,19,55,42,37,52,48,46,45,18
washingtonpost,35,18,26,22,27,19,36,26,36,19,63,41,51,25,20,23,22,19,55,42,37,52,46,46,44,18
weatherbug,33,17,24,19,27,14,38,25,33,18,63,39,48,25,15,23,26,16,50,42,30,51,48,45,44,16
weatherforyou,33,18,28,21,27,18,36,27,36,18,63,41,52,25,19,23,23,19,53,43,38,53,46,42,45,18
wunderground,39,18,25,23,27,18,36,27,36,21,62,41,50,25,19,23,25,17,53,38,37,53,48,44,42,18
yahoo,36,21,27,19,27,17,33,25,34,19,63,39,51,25,19,23,20,19,55,43,36,45,46,43,44,21
