Source,Austin,Baltimore,Charlotte,Chicago,Dallas,Detroit,El Paso,Fort Worth,Houston,Indianapolis,Jacksonville,Las Vegas,Los Angeles,Memphis,Milwaukee,Nashville,Oklahoma City,Philadelphia,Phoenix,Portland,San Antonio,San Diego,San Francisco,San Jose,Seattle,Washington
accuweather,39,32,42,27,43,27,56,37,45,31,59,49,60,44,24,38,31,33,58,42,42,58,51,51,44,35
aol,39,36,43,29,46,27,56,40,45,32,59,51,61,43,22,38,32,34,58,42,42,60,53,53,45,35
climaton,39,34,41,27,45,25,52,36,45,28,57,46,57,39,23,34,30,34,55,34,41,57,52,48,43,34
cnn,39,31,41,25,38,25,51,35,45,29,59,47,57,40,23,33,30,33,55,41,39,58,51,49,42,34
findlocalweather,39,34,41,27,45,25,52,36,46,28,57,46,57,39,23,34,30,32,55,41,43,57,50,48,43,34
foxnews,39,33,41,26,41,25,51,35,43,29,58,46,57,40,23,33,30,33,55,41,41,58,51,49,42,34
herald,39,32,42,27,45,26,56,37,46,31,59,49,60,44,24,38,31,34,58,42,42,58,51,51,44,35
msn,39,32,43,27,45,27,55,37,45,30,55,48,61,45,25,37,30,34,57,43,41,57,52,52,45,36
nytimes,37,31,41,26,45,26,51,43,46,30,56,47,50,40,19,33,30,33,56,42,41,55,50,46,41,34
unisys,39,36,42,27,45,26,56,37,45,31,59,49,60,44,24,38,31,34,57,42,42,58,51,51,44,35
uswx,39,32,42,27,46,26,56,37,46,31,59,49,57,44,24,38,31,33,58,42,43,58,51,51,44,35
washingtonpost,39,32,42,27,43,27,56,37,45,31,59,49,60,44,24,38,31,33,58,42,42,58,51,51,44,35
weatherbug,39,31,44,28,45,23,55,37,42,35,57,45,57,39,21,49,30,33,57,40,38,57,52,48,42,34
weatherforyou,40,32,47,27,48,27,55,39,44,32,61,53,61,45,29,37,35,32,60,42,44,58,52,52,45,36
wunderground,43,33,46,29,44,23,53,39,46,33,61,51,59,46,24,40,34,34,61,40,43,58,52,55,41,33
yahoo,39,32,42,27,45,26,56,37,45,29,59,46,60,44,24,38,31,32,58,42,43,56,51,46,44,35
