Source,Austin,Baltimore,Charlotte,Chicago,Dallas,Detroit,El Paso,Fort Worth,Houston,Indianapolis,Jacksonville,Las Vegas,Los Angeles,Memphis,Milwaukee,Nashville,Oklahoma City,Philadelphia,Phoenix,Portland,San Antonio,San Diego,San Francisco,San Jose,Seattle,Washington
accuweather,53,35,37,32,50,30,62,50,59,38,59,58,64,44,32,46,35,36,71,48,53,61,53,57,51,40
aol,52,36,38,32,50,28,63,50,57,38,59,57,64,43,30,45,37,35,71,52,53,61,53,58,53,38
climaton,54,37,37,32,50,28,63,50,57,37,61,57,64,45,32,46,36,36,72,28,54,61,54,57,52,39
cnn,53,35,37,32,50,28,62,50,57,38,59,58,64,44,32,46,35,35,21,48,53,61,53,57,52,40
findlocalweather,52,37,37,32,50,28,63,48,57,37,61,57,64,45,32,46,36,36,72,48,54,61,54,57,52,39
foxnews,53,37,37,32,50,28,62,50,55,38,60,56,64,44,32,46,35,35,71,48,54,61,53,57,52,40
herald,51,35,37,31,51,28,63,50,57,37,59,58,64,43,32,45,36,35,71,50,52,61,54,58,54,38
msn,52,36,37,30,50,28,63,50,55,37,59,57,64,45,32,46,36,36,72,48,54,61,54,57,52,39
nytimes,50,35,37,32,50,30,62,50,57,36,59,58,63,44,28,46,35,35,68,50,53,63,55,58,50,40
unisys,51,37,37,31,51,28,63,50,58,37,59,57,64,43,32,45,36,35,69,50,52,61,54,58,54,38
uswx,51,35,37,31,51,28,63,50,57,37,59,57,61,43,32,45,35,35,71,50,52,61,54,58,54,38
washingtonpost,53,35,37,32,50,30,62,50,59,38,59,58,64,44,32,46,35,36,71,48,53,61,53,57,51,40
weatherbug,53,34,35,30,54,27,63,51,53,37,60,55,61,44,30,46,39,35,74,51,48,61,56,57,50,38
weatherforyou,50,36,36,32,53,28,63,48,56,38,60,63,64,45,32,46,36,36,69,48,52,63,54,60,52,39
wunderground,52,36,35,33,52,28,65,51,57,38,57,58,61,43,33,47,44,34,69,48,52,62,59,59,59,38
yahoo,51,37,37,32,50,28,62,50,55,38,60,57,64,44,32,46,36,36,71,48,54,62,53,54,52,40
