Source,Austin,Baltimore,Charlotte,Chicago,Dallas,Detroit,El Paso,Fort Worth,Houston,Indianapolis,Jacksonville,Las Vegas,Los Angeles,Memphis,Milwaukee,Nashville,Oklahoma City,Philadelphia,Phoenix,Portland,San Antonio,San Diego,San Francisco,San Jose,Seattle,Washington
accuweather,33,26,36,26,32,23,48,31,39,25,48,51,57,32,23,32,26,25,61,47,33,57,52,52,45,28
aol,33,29,36,28,34,24,50,34,39,27,45,52,60,33,21,33,27,27,63,48,34,58,50,54,49,28
climaton,34,28,34,27,34,21,48,30,39,25,45,52,57,32,23,32,25,27,61,27,34,57,52,52,48,28
cnn,33,26,36,26,32,22,48,31,39,25,48,51,57,32,23,32,26,27,61,47,33,57,51,52,48,28
findlocalweather,32,28,36,27,34,21,48,34,39,25,45,52,57,32,23,32,27,25,61,46,34,57,52,52,48,28
foxnews,32,24,31,20,32,19,41,31,36,20,43,40,49,29,18,24,24,22,51,44,33,51,49,49,47,24
herald,32,26,36,26,34,22,48,31,39,25,45,51,57,32,23,32,25,27,61,47,33,57,52,52,48,28
msn,32,27,36,27,34,21,48,30,37,25,43,52,57,32,23,32,27,25,61,46,34,57,52,52,48,28
nytimes,32,26,36,26,34,23,48,32,39,27,42,51,54,32,19,32,26,27,60,48,33,56,49,52,45,28
unisys,32,29,36,26,34,22,48,31,39,25,45,51,57,32,23,32,25,27,60,47,33,57,51,52,48,28
uswx,32,26,36,26,34,22,48,31,39,25,45,51,54,32,23,32,27,25,61,47,33,57,52,52,48,28
washingtonpost,33,26,36,26,32,23,48,31,39,25,48,51,57,32,23,32,26,25,61,47,33,57,52,52,45,28
weatherbug,33,24,35,24,35,20,50,30,36,27,45,50,53,32,20,42,25,27,60,47,30,56,52,52,44,28
weatherforyou,34,27,40,27,35,21,48,34,39,27,41,56,57,32,23,32,29,25,65,49,37,59,52,54,48,28
wunderground,35,27,37,29,34,22,49,32,39,29,49,54,59,36,23,31,29,29,64,44,36,58,53,55,45,28
yahoo,32,27,36,26,34,22,48,31,37,25,45,51,57,32,23,32,25,25,61,47,34,55,51,52,48,28
