Source,Austin,Baltimore,Charlotte,Chicago,Dallas,Detroit,El Paso,Fort Worth,Houston,Indianapolis,Jacksonville,Las Vegas,Los Angeles,Memphis,Milwaukee,Nashville,Oklahoma City,Philadelphia,Phoenix,Portland,San Antonio,San Diego,San Francisco,San Jose,Seattle,Washington
accuweather,45,22,36,30,41,21,46,40,49,32,55,50,57,41,26,34,32,26,57,43,46,57,52,52,44,29
aol,45,29,36,31,44,21,45,43,48,32,57,51,57,38,25,35,32,28,56,45,46,56,52,53,47,27
climaton,45,30,36,30,45,21,46,39,48,34,55,52,57,41,27,36,32,27,57,30,46,57,54,54,46,30
cnn,45,23,37,30,42,21,46,40,49,33,55,52,58,41,27,35,32,27,57,43,46,57,53,53,47,31
findlocalweather,45,30,37,30,45,21,46,43,48,34,57,52,57,41,27,36,32,28,57,43,46,57,52,54,46,30
foxnews,45,30,38,30,44,23,53,43,48,33,56,46,58,41,28,35,32,27,62,43,46,58,53,52,47,31
herald,45,22,36,30,42,20,46,40,49,32,57,50,57,41,26,34,32,26,57,43,46,57,52,52,46,29
msn,45,21,36,30,43,19,46,39,48,32,55,52,57,41,27,34,32,27,57,43,46,57,52,54,46,28
nytimes,45,23,37,30,45,21,46,41,49,30,55,52,55,41,23,35,32,27,54,42,46,54,51,54,44,31
unisys,45,30,36,30,42,20,46,40,49,32,57,51,57,41,26,34,32,26,54,43,46,57,52,52,46,29
uswx,45,22,36,30,42,20,46,40,49,32,57,51,57,41,26,34,32,26,57,43,46,57,52,52,46,29
washingtonpost,45,23,37,30,42,21,46,40,49,33,55,52,58,41,27,35,32,28,57,43,46,57,53,53,45,31
weatherbug,45,29,32,30,45,23,49,44,46,33,55,49,56,41,24,37,32,29,57,42,42,55,54,53,44,31
weatherforyou,44,23,31,30,42,21,46,43,47,33,57,48,57,41,27,36,37,28,52,43,48,54,54,50,46,30
wunderground,46,30,32,31,43,26,48,42,48,30,56,47,56,41,26,37,34,26,51,41,47,53,53,51,44,30
yahoo,45,23,37,30,45,21,46,40,48,33,55,49,58,41,27,35,32,28,57,43,46,50,53,54,47,31
